mes,rel,id
mes1,GOT,egranovd
mes2,GOT,buzinv
mes3,GOT,marochkind
mes4,GOT,egranovd
mes5,GOT,egranovd
mes6,GOT,marochkind
mes7,GOT,marochkind
mes8,GOT,marochkind
mes9,GOT,koroleva
mes10,GOT,sadykovr
mes11,GOT,kozlovam
mes12,GOT,belyakova
mes13,GOT,terentyevv
mes14,GOT,pivkina
mes15,GOT,marochkind
mes16,GOT,marochkind
mes17,GOT,andriyahina
mes18,GOT,belyakova
mes19,GOT,koroleva
mes20,GOT,koroleva
mes21,GOT,marochkind
mes22,GOT,marochkind
mes23,GOT,umnovk
mes24,GOT,zagrebalovm
mes25,GOT,pyanzinv
mes26,GOT,koroleva
mes27,GOT,popovd
mes28,GOT,marochkind
mes29,GOT,sadykovr
mes30,GOT,umnovk
